ID1, ID2, A12, A21, alpha12,,,
1921,1114,2991.1845,-464.8054,0.1563,Water,OneHexanol,
1921,1115,1880.1699,489.1746,0.2938,Water,TwoHexanol,
1921,2862,1914.0077,220.0262,0.4776,Water,Twobutoxyethanol,
1921,1180,4689.8409,301.3998,0.3168,Water,Benzylalcohol,
1921,2796,2222.596,831.9908,0.5706,Water,Two6Dimethylpyridinr,
1921,1317,1874.8967,856.9565,0.3734,Water,Isopentylacetate,
1921,1090,725.1364,858.8268,0,Water,Acetophenone,
1921,1748,11675.1604,-3887.1802,0.0902,Water,Quinoline,
1921,510,2986.1161,-84.8485,0.086,Water,Isopropylbenzene,
1938,501,161.2943,431.5524,0.3,CarbonDisulfide,Benzene,
1938,502,-591.6879,1052.858,0.243,CarbonDisulfide,Toluene,
2640,1101,9870.353,-6982.8569,0.0187,Halothane,Methanol,
2655,501,-53.1528,551.963,0.301,OneOneTwoTrichloroOneTwoTwoTrifluoroethane,Benzene,
2793,502,-167.8974,104.6027,0.302,MethylIsocyanate,Toluene,
2851,1101,617.5847,-153.4695,0.3003,Methanol,Formamide,
